Make,Model,Year,Price,Mileage,Body Type,Cylinders,Transmission,Fuel Type,Color,Car Age,Mileage Per Year,Log Price,Transmission Encoded,Fuel Type_Diesel,Fuel Type_Electric,Fuel Type_Gasoline,Fuel Type_Hybrid,Body Type_Coupe,Body Type_Crossover,Body Type_Hard Top Convertible,Body Type_Hatchback,Body Type_Other,Body Type_Pick Up Truck,Body Type_SUV,Body Type_Sedan,Body Type_Soft Top Convertible,Body Type_Sports Car,Body Type_Utility Truck,Body Type_Van,Body Type_Wagon,Make Encoded,Model Encoded,Color Encoded,Year zscore scaled,Mileage zscore scaled,Price zscore scaled,Cylinders zscore scaled,Car Age zscore scaled,Mileage Per Year zscore scaled
nissan,x-trail,2020,85012.0,28571,SUV,4,Automatic Transmission,Gasoline,White,5,5714.2,11.350559464954614,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,95783.9718918919,58953.84,190510.7618479881,0.9545208578684412,-1.5128392611810413,-0.3402085487167876,-1.1557246904277823,-0.9545208578684424,-0.5359917812850414
mercedes-benz,cls-class,2012,57357.0,280953,Sedan,8,Automatic Transmission,Gasoline,Black,13,21611.76923076923,10.957067607162129,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,372082.4993270525,159647.54054054053,295369.32502351835,-0.4270406674875326,1.5032818326070632,-0.398929807908629,0.9295740428083263,0.4270406674875314,-0.15054452262079224
nissan,patrol,2006,360078.0,269976,SUV,8,Automatic Transmission,Gasoline,Grey,19,14209.263157894737,12.794078730802328,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,95783.9718918919,162685.6968911917,259363.79265493498,-1.463211811504513,1.3720998891780072,0.2438529909998298,0.9295740428083263,1.4632118115045119,-0.3300232612642138
nissan,x-trail,2006,49302.0,121173,Crossover,4,Automatic Transmission,Gasoline,White,19,6377.526315789473,10.805740210106356,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95783.9718918919,58953.84,190510.7618479881,-1.463211811504513,-0.4061880517961959,-0.4160333965107003,-1.1557246904277823,1.4632118115045119,-0.5199089886071487
toyota,yaris,2009,32656.0,254828,Hatchback,4,Automatic Transmission,Gasoline,White,16,15926.75,10.393814506824773,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111815.73908174693,37200.357142857145,190510.7618479881,-0.9451262394960228,1.1910719144068183,-0.4513786896044408,-1.1557246904277823,0.9451262394960216,-0.28838163760013114
jeep,grand-cherokee,2021,36447.0,247240,SUV,8,Automatic Transmission,Gasoline,Blue,4,61810.0,10.503641866246909,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,129047.2811594203,117764.11111111111,304107.44606413995,1.1272160485379379,1.100390618356925,-0.44332906770618474,0.9295740428083263,-1.1272160485379392,0.8240886196060183
kia,optima,2014,29408.0,138591,Sedan,5,Automatic Transmission,Gasoline,White,11,12599.181818181818,10.289056028929835,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,44691.06956521739,40170.92857142857,190510.7618479881,-0.08165028614853918,-0.19803217217086128,-0.458275332159317,-0.6344000071187551,0.08165028614853796,-0.36906076628212886
ferrari,599,2024,4197282.0,220775,Coupe,12,Automatic Transmission,Gasoline,Blue,1,220775.0,15.249947969158523,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1225834.0894308942,2467926.3333333335,304107.44606413995,1.6453016205464281,0.7841174897379974,8.391582177619634,3.014872776044435,-1.6453016205464293,4.678301964056892
bmw,x6,2021,342897.0,292448,SUV,8,Automatic Transmission,Gasoline,Black,4,73112.0,12.745188305829744,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,163608.4369627507,195994.26470588235,295369.32502351835,1.1272160485379379,1.6406541966151709,0.20737170536703184,0.9295740428083263,-1.1272160485379392,1.0981132113022016
porsche,cayenne,2024,380035.0,193415,SUV,6,Automatic Transmission,Gasoline,White,1,193415.0,12.848021264057422,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,336755.0177777778,242302.2093023256,190510.7618479881,1.6453016205464281,0.45714855722283176,0.286228697732485,-0.11307532380972793,-1.6453016205464293,4.014940361791136
bentley,continental-gt,2008,208965.0,229097,Coupe,12,Automatic Transmission,Gasoline,Other Color,17,13476.29411764706,12.249926838287378,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560115.9420289855,600727.0222222222,272002.41025641025,-1.1178214301655196,0.8835705400446936,-0.07701287919567673,3.014872776044435,1.1178214301655183,-0.34779458863811336
land-rover,range-rover,2024,222044.0,33480,SUV,8,Automatic Transmission,Gasoline,Black,1,33480.0,12.310635343015703,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,249111.48884758365,287027.0,295369.32502351835,1.6453016205464281,-1.4541736731065915,-0.04924157747916637,0.9295740428083263,-1.6453016205464293,0.13720871492075268
nissan,sunny,2008,28063.0,294765,Sedan,4,Automatic Transmission,Gasoline,White,17,17339.117647058825,10.242242895171909,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,95783.9718918919,25507.0,190510.7618479881,-1.1178214301655196,1.668343780556605,-0.4611312386360129,-1.1557246904277823,1.1178214301655183,-0.25413783404233664
mercedes-benz,gl-class,2018,120721.0,220931,SUV,8,Automatic Transmission,Gasoline,White,7,31561.571428571428,11.701245660567583,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,372082.4993270525,94025.85,190510.7618479881,0.6091304765294477,0.78598178628304,-0.2643858242734151,0.9295740428083263,-0.609130476529449,0.09069512387633516
nissan,altima,2009,58468.0,194346,Sedan,4,Automatic Transmission,Gasoline,White,16,12146.625,10.976251978235707,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,95783.9718918919,46364.504504504504,190510.7618479881,-0.9451262394960228,0.46827458339869504,-0.3965707654583619,-1.1557246904277823,0.9451262394960216,-0.3800333107275011
toyota,land-cruiser,2011,331226.0,198407,SUV,6,Automatic Transmission,Gasoline,White,14,14171.92857142857,12.710559219909655,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,111815.73908174693,215644.51442307694,190510.7618479881,-0.5997358581570293,0.5168060466641953,0.182590081211256,-0.11307532380972793,0.5997358581570281,-0.330928463424233
chevrolet,corvette,2015,162913.0,215495,Hard Top Convertible,8,Manual Transmission,Gasoline,Red,10,21549.5,12.000977733193196,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91526.95709570957,219864.64,276426.75433070865,0.09104490452095754,0.7210182220596321,-0.1747974182773141,0.9295740428083263,-0.09104490452095877,-0.15205428200291699
porsche,panamera,2018,292855.0,39608,Sedan,6,Automatic Transmission,Gasoline,White,7,5658.285714285715,12.587436299612639,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,336755.0177777778,209990.6393442623,190510.7618479881,0.6091304765294477,-1.3809402806192765,0.10111499762961985,-0.11307532380972793,-0.609130476529449,-0.5373474607499894
mercedes-benz,g-class,2011,494348.0,140824,SUV,8,Automatic Transmission,Gasoline,Grey,14,10058.857142857143,13.110997024464934,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,372082.4993270525,900353.9221789883,259363.79265493498,-0.5997358581570293,-0.17134644021521928,0.5289552680451579,0.9295740428083263,0.5997358581570281,-0.43065264665123015
mercedes-benz,s-class,2018,436570.0,199886,Sedan,8,Automatic Transmission,Gasoline,White,7,28555.14285714286,12.98670629853736,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,372082.4993270525,361820.0520833333,190510.7618479881,0.6091304765294477,0.5344810119854647,0.4062723205280285,0.9295740428083263,-0.609130476529449,0.017802241045911067
kia,sorento,2018,12803.0,287736,Sedan,6,Automatic Transmission,Gasoline,Silver,7,41105.142857142855,9.457512901089753,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,44691.06956521739,39255.11111111111,148198.60392609698,0.6091304765294477,1.5843428804597812,-0.49353356788090536,-0.11307532380972793,-0.609130476529449,0.3220854321436901
honda,accord,2022,134183.0,270532,Sedan,4,Automatic Transmission,Gasoline,Blue,3,90177.33333333333,11.80696727137459,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,56072.90909090909,46981.205128205125,304107.44606413995,1.2999112392074346,1.378744433274441,-0.235801279299972,-1.1557246904277823,-1.299911239207436,1.5118736960682546
dodge,charger,2022,31252.0,276604,Sedan,8,Automatic Transmission,Gasoline,Blue,3,92201.33333333333,10.349870650556843,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,108487.78776978418,82294.7,304107.44606413995,1.2999112392074346,1.4513085911045611,-0.4543598737630141,0.9295740428083263,-1.299911239207436,1.5609469374054583
rolls-royce,phantom,2006,442922.0,107637,Sedan,12,Automatic Transmission,Gasoline,White,19,5665.105263157895,13.001151219021292,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1827529.645390071,1530638.9444444445,190510.7618479881,-1.463211811504513,-0.5679516289352778,0.41975984315997844,3.014872776044435,1.4632118115045119,-0.5371821162007723
mercedes-benz,cla,2008,85739.0,21929,Sedan,4,Automatic Transmission,Gasoline,White,17,1289.9411764705883,11.359074740151968,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,372082.4993270525,136498.57142857142,190510.7618479881,-1.1178214301655196,-1.592215271771894,-0.33866487287399355,-1.1557246904277823,1.1178214301655183,-0.643260912206638
nissan,altima,2022,35378.0,106108,Sedan,4,Automatic Transmission,Gasoline,White,3,35369.333333333336,10.47387370275808,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,95783.9718918919,46364.504504504504,190510.7618479881,1.2999112392074346,-0.5862241252004712,-0.44559892943375945,-1.1557246904277823,-1.299911239207436,0.18301687234816874
ford,edge,2018,183374.0,265019,SUV,6,Automatic Transmission,Gasoline,White,7,37859.857142857145,12.119288515445282,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,110800.93900184843,50986.34146341463,190510.7618479881,0.6091304765294477,1.3128606713973903,-0.13135154287235054,-0.11307532380972793,-0.609130476529449,0.2434012972299936
nissan,patrol,2017,139466.0,152744,SUV,6,Manual Transmission,Gasoline,White,8,19093.0,11.845583293119246,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,95783.9718918919,162685.6968911917,190510.7618479881,0.436435285859951,-0.02889506318375823,-0.2245836183955967,-0.11307532380972793,-0.4364352858599522,-0.21161377673851017
bmw,6-series,2015,50460.0,146659,Sedan,6,Automatic Transmission,Gasoline,Black,10,14665.9,10.828956039676049,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,163608.4369627507,98111.85416666667,295369.32502351835,0.09104490452095754,-0.10161457905929855,-0.4135745565850394,-0.11307532380972793,-0.09104490452095877,-0.31895179389460404
hyundai,kona,2020,49724.0,112352,SUV,4,Automatic Transmission,Gasoline,Red,5,22470.4,10.814263103722173,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,54998.52558139535,49724.0,276426.75433070865,0.9545208578684412,-0.5116044609232527,-0.4151373425826961,-1.1557246904277823,-0.9545208578684424,-0.12972644210794126
mercedes-benz,s-class,2006,49519.0,241390,Sedan,8,Automatic Transmission,Gasoline,White,19,12704.736842105263,10.810131907358478,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,372082.4993270525,361820.0520833333,190510.7618479881,-1.463211811504513,1.0304794979178271,-0.4155726294434564,0.9295740428083263,1.4632118115045119,-0.3665015137310669
lamborghini,urus,2021,1568997.0,28162,Crossover,6,Automatic Transmission,Gasoline,Red,4,7040.5,14.265947757017098,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1608101.1875,1623015.7457627119,276426.75433070865,1.1272160485379379,-1.5177270643023388,2.8108118028219864,-0.11307532380972793,-1.1272160485379392,-0.5038347457190666
porsche,cayenne,2019,74335.0,278497,SUV,6,Automatic Transmission,Gasoline,Silver,6,46416.166666666664,11.216350635570135,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,336755.0177777778,242302.2093023256,148198.60392609698,0.7818256671989444,1.4739311126415204,-0.3628795624355108,-0.11307532380972793,-0.7818256671989456,0.4508547765865737
mitsubishi,pajero,2013,40762.0,10587,SUV,6,Automatic Transmission,Gasoline,Silver,12,882.25,10.615530086198365,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48964.87372013652,51077.09316770186,148198.60392609698,-0.25434547681803593,-1.7277591910915946,-0.43416681012481445,-0.11307532380972793,0.2543454768180347,-0.653145658992206
dodge,challenger,2023,130555.0,69833,Coupe,8,Automatic Transmission,Gasoline,Grey,2,34916.5,11.779557532473701,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108487.78776978418,82554.16666666667,259363.79265493498,1.4726064298769315,-1.0197328250172706,-0.24350479506016004,0.9295740428083263,-1.4726064298769326,0.17203762360696462
mercedes-benz,c-class,2014,120941.0,184492,Sedan,4,Automatic Transmission,Gasoline,Blue,11,16772.0,11.703066370816314,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,372082.4993270525,141566.2564102564,304107.44606413995,-0.08165028614853918,0.3505131849701701,-0.26391868715455036,-1.1557246904277823,0.08165028614853796,-0.26788798283715126
porsche,cayenne,2014,68719.0,253848,SUV,8,Automatic Transmission,Gasoline,Black,11,23077.090909090908,11.137795556658137,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,336755.0177777778,242302.2093023256,295369.32502351835,-0.08165028614853918,1.1793603079059094,-0.3748042990698041,0.9295740428083263,0.08165028614853796,-0.1150168129582844
chevrolet,silverado,2009,159025.0,173619,Pick Up Truck,8,Automatic Transmission,Gasoline,Black,16,10851.1875,11.97682298984668,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91526.95709570957,105152.6,295369.32502351835,-0.9451262394960228,0.2205741059044758,-0.18305300517797868,0.9295740428083263,0.9451262394960216,-0.41144206422293766
porsche,cayenne,2008,1055578.0,169934,SUV,8,Automatic Transmission,Gasoline,Grey,17,9996.117647058823,13.869599989514215,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,336755.0177777778,242302.2093023256,259363.79265493498,-1.1178214301655196,0.17653607533728335,1.7206432917745798,0.9295740428083263,1.1178214301655183,-0.43217380792528426
mini,cooper,2011,85706.0,225344,Coupe,4,Automatic Transmission,Gasoline,Red,14,16096.0,11.358689781530265,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75449.91666666667,72200.62790697675,276426.75433070865,-0.5997358581570293,0.8387198673937647,-0.33873494344182326,-1.1557246904277823,0.5997358581570281,-0.2842780575130157
mercedes-benz,g-class,2007,1164907.0,168941,SUV,8,Automatic Transmission,Gasoline,Black,18,9385.611111111111,13.968152671906566,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,372082.4993270525,900353.9221789883,295369.32502351835,-1.2905166208350163,0.16466911079095442,1.9527870829944254,0.9295740428083263,1.290516620835015,-0.4469759495144653
nissan,patrol,2011,129092.0,272655,SUV,6,Automatic Transmission,Gasoline,Black,14,19475.35714285714,11.768288353830998,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,95783.9718918919,162685.6968911917,295369.32502351835,-0.5997358581570293,1.4041155971534505,-0.24661125690061075,-0.11307532380972793,0.5997358581570281,-0.20234327063750615
aston-martin,rapide,2011,302938.0,264405,Sedan,12,Automatic Transmission,Gasoline,White,14,18886.071428571428,12.621286744091876,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,577375.5,333094.0,190510.7618479881,-0.5997358581570293,1.3055229914060047,0.12252474112740822,3.014872776044435,0.5997358581570281,-0.21663089913242178
ford,f-series-pickup,2010,289114.0,70881,Pick Up Truck,6,Automatic Transmission,Hybrid,Black,15,4725.4,12.574579811819293,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110800.93900184843,209778.07272727272,295369.32502351835,-0.7724310488265261,-1.0072085764326253,0.09317154325837854,-0.11307532380972793,0.7724310488265249,-0.5599659023493828
gmc,yukon,2013,303404.0,81085,SUV,8,Automatic Transmission,Gasoline,Black,12,6757.083333333333,12.622823825655306,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,118440.89583333333,172977.7258064516,295369.32502351835,-0.25434547681803593,-0.8852644613966331,0.1235142224791854,0.9295740428083263,0.2543454768180347,-0.5107063734277223
chevrolet,corvette,2018,448226.0,140105,Coupe,8,Automatic Transmission,Gasoline,Red,7,20015.0,13.013055079498406,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91526.95709570957,219864.64,276426.75433070865,0.6091304765294477,-0.17993893518884516,0.4310220944256999,0.9295740428083263,-0.609130476529449,-0.1892592666036773
renault,duster,2021,39249.0,232139,SUV,4,Automatic Transmission,Gasoline,Blue,4,58034.75,10.577706723210554,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44400.91935483871,35394.307692307695,304107.44606413995,1.1272160485379379,0.9199243226730246,-0.43737943949227986,-1.1557246904277823,-1.1272160485379392,0.7325551441325608
volkswagen,tiguan,2012,26449.0,90347,SUV,4,Automatic Transmission,Gasoline,White,13,6949.7692307692305,10.183011437286446,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,82030.72222222222,80558.45833333333,190510.7618479881,-0.4270406674875326,-0.7745778293441673,-0.46455832640804806,-1.1557246904277823,0.4270406674875314,-0.5060345742443491
chevrolet,camaro,2008,101280.0,296942,Coupe,6,Automatic Transmission,Gasoline,Red,17,17467.176470588234,11.525654110946952,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91526.95709570957,93023.22916666667,276426.75433070865,-1.1178214301655196,1.6943602778550524,-0.3056658821272784,-0.11307532380972793,1.1178214301655183,-0.25103296173383016
